Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C3, C4",0805,6,100nf,
C2,0805,1,1uF_0805,
D1,D_SMA,1,SS34,
D3,D_SMA,1,SS14,
D7,0805,1,RED LED,
D8,0805,1,GREEN LED,
"J1, J5",Solder_pad2,2,JST-S2B-XH_Sideentry,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,LMLP07A7M1R0DTAS_AVX,1,10uh,
Q2,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7832,
R1,R_2512,1,50mohm_2512,
"R2, R4",0603,2,2.2k,
"R3, R5",0603,2,5.1K,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,CN3302,
