Designator,Mid X,Mid Y,Rotation,Layer
C1,153.1,-107.09,270.0,top
C12,159.65,-106.83,90.0,bottom
C13,157.36,-106.91,90.0,bottom
C14,155.0,-106.89,90.0,bottom
C2,172.18,-104.83,90.0,top
C3,155.295,-107.09,270.0,top
C4,157.49,-107.09,270.0,top
D1,142.35,-98.72,0.0,top
D3,179.25,-106.99,180.0,top
D7,135.35,-99.105,270.0,top
D8,133.24,-99.1,270.0,top
J1,166.16,-106.17,90.0,bottom
J2,178.99,-100.305,180.0,top
J5,171.035,-106.105,90.0,bottom
L1,150.43,-101.2,0.0,bottom
Q2,148.55,-104.41,0.0,top
R1,156.87,-101.2175,270.0,top
R2,131.12,-99.17,90.0,top
R3,180.23,-101.17,90.0,bottom
R4,137.17,-98.9825,90.0,top
R5,177.24,-101.2,90.0,bottom
SW1,166.11,-99.87,180.0,top
U2,141.71,-104.84,180.0,top
