Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nf,
"C10, C21, C26, C3",0805,4,0.1uF_0805,
"C11, C22, C25, C27, C4, C6",0805,6,1uF_0805,
"C2, C20",CP_EIA-2012-15_AVX-P,2,100uF-35V,CP_EIA-2012-15_AVX-P
"C24, C5",0805,2,10uF_0805,
C8,CP_Elec_5x3,1,100uF_50V_THT_Electrolytic,
C9,0603,1,10uf,
"D1, D13, D14, D15, D16",0603,5,RED,C71911
"D10, D11, D12, D4, D6, D7, D8, D9",D_SMA,8,SS14,SS14
J1,FFC_Connector_8pos,1,Conn_01x08_Socket,
J12,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-B2B-XH_Topentry,B3B-XH_Topentry
J13,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,B3B-XH-AM_1x03
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-B2B-XH_Topentry,
J5,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,Receptacle_XKB_U262-16XN-4BVC11
"L1, L2",LMLP07A7M1R0DTAS_AVX,2,BMRF00060630100MA1,BMRF00060630100MA1
"R1, R4, R5",0603,3,1K,
"R10, R11, R3, R35, R38",0603,5,500R,C25905
"R12, R36",0603,2,3K3_0603,
"R13, R23, R24, R25, R26, R27, R28, R29",0603,8,33R,
"R14, R6",0805,2,1K_0805,
"R16, R7",0603,2,511K_0603,
"R17, R18, R32, R37",0603,4,10K_0603,
R19,0603,1,2K2_0603,
R2,0603,1,10K,
R20,0603,1,1K_0603,
"R21, R22",0603,2,1.2K,
"R30, R31",0603,2,4.7K,
"R33, R8",0603,2,105K_0603,
"R34, R9",0603,2,100K_0603,
"SW1, SW2",SKRPABE010,2,SW_Push,C720477
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,ESP32-S3-MINI-1
"U10, U11, U3, U5, U6, U7, U8, U9",SOT-23,8,AO3400,AO3400
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,HX710B,HX710B
"U14, U2",SOT-23-6,2,TPS54302DDCR,TPS54302DDCR
U4,SOT-23-5,1,AP2127K-ADJTRG1,AP2127K-ADJTRG1
