Designator,Mid X,Mid Y,Rotation,Layer
C1,47.8,-128.28,0.0,top
C10,90.525,-117.725,0.0,top
C11,91.825,-112.575,270.0,top
C2,88.675,-123.55,90.0,bottom
C20,75.41,-127.4475,270.0,top
C21,74.61,-132.31,180.0,top
C22,74.6,-130.29,0.0,top
C24,62.515,-123.61,90.0,bottom
C25,64.675,-123.61,90.0,bottom
C26,65.27,-126.86,180.0,top
C27,58.455,-125.06,180.0,bottom
C3,86.49,-123.5275,270.0,bottom
C4,88.725,-119.925,270.0,bottom
C5,87.675,-123.475,180.0,top
C6,87.69,-121.425,180.0,top
C8,37.81,-130.38,90.0,top
C9,61.59,-120.24,270.0,bottom
D1,42.15,-129.77,90.0,top
D10,69.1075,-103.68,180.0,bottom
D11,59.38,-103.69,180.0,bottom
D12,101.1575,-109.53,180.0,bottom
D13,92.275,-128.57,180.0,top
D14,42.96375,-132.48,0.0,top
D15,52.23375,-132.48,180.0,top
D16,82.8,-116.675,270.0,top
D4,100.005,-123.896876,180.0,bottom
D6,88.2475,-103.7,180.0,bottom
D7,78.53,-103.62,180.0,bottom
D8,40.8455,-103.69,180.0,bottom
D9,49.7675,-103.69,180.0,bottom
J1,73.78,-125.7,180.0,top
J12,99.865,-111.326876,270.0,top
J13,71.225,-120.1325,180.0,top
J2,99.895,-120.886876,270.0,top
J5,81.755,-130.575,0.0,top
L1,58.928,-129.794,180.0,top
L2,86.925,-110.3,90.0,top
R1,45.44,-129.06,270.0,top
R10,89.155,-128.58,180.0,top
R11,46.03375,-132.48,0.0,top
R12,69.07,-130.73,180.0,top
R13,99.325,-120.816876,180.0,bottom
R14,86.5,-119.9,90.0,bottom
R16,90.075,-119.65,0.0,top
R17,50.37,-129.77,90.0,bottom
R18,44.56,-129.79,270.0,bottom
R19,42.95,-129.78,270.0,bottom
R2,37.65,-106.96,0.0,top
R20,41.33,-129.785,270.0,bottom
R21,98.75,-129.31,0.0,top
R22,98.73,-130.92,180.0,top
R23,91.41,-100.11,90.0,bottom
R24,81.778,-100.11,90.0,bottom
R25,43.25,-100.11,90.0,bottom
R26,52.882,-100.11,90.0,bottom
R27,72.146,-100.11,90.0,bottom
R28,62.514,-100.11,90.0,bottom
R29,98.785,-113.91,180.0,bottom
R3,43.74,-129.8,90.0,top
R30,61.66,-117.095,90.0,bottom
R31,57.6,-122.39,0.0,bottom
R32,69.05,-128.92,0.0,top
R33,87.05,-119.65,0.0,top
R34,83.55,-120.65,0.0,top
R35,49.10375,-132.48,180.0,top
R36,83.55,-122.2,0.0,top
R37,83.525,-123.8,0.0,top
R38,83.55,-119.05,180.0,top
R4,62.21,-119.17,90.0,top
R5,63.72,-117.76,90.0,top
R6,73.32,-127.48,270.0,top
R7,71.35,-131.48,270.0,top
R8,71.32,-128.15,270.0,top
R9,67.43,-132.3,0.0,top
SW1,41.6975,-125.91,0.0,top
SW2,47.2025,-125.89,180.0,top
U1,40.1,-115.93,90.0,top
U10,59.782,-98.29,270.0,bottom
U11,102.705,-112.93,0.0,bottom
U12,56.89,-118.83,270.0,bottom
U14,86.975,-116.65,90.0,top
U2,65.4575,-129.8,180.0,top
U3,102.855,-119.716876,0.0,bottom
U4,47.4075,-129.77,180.0,bottom
U5,88.27,-98.29,270.0,bottom
U6,78.774,-98.29,270.0,bottom
U7,40.79,-98.29,270.0,bottom
U8,50.286,-98.29,270.0,bottom
U9,69.278,-98.29,270.0,bottom
